Test No.,Scheduling Method,Chunk Size,No of Iterations,1,2,3,4,5,6,7,8
1,static,100,6,4.052263,2.227013,1.585942,1.269737,1.132922,0.970025,1.011152,0.912730
2,static,1000,6,3.728300,1.974249,1.597956,1.177254,1.162401,1.028394,0.964100,0.928056
3,static,10000,6,3.641123,2.505159,1.860022,1.815304,1.683329,1.398628,1.288146,1.318031
4,static,100000,6,3.716142,2.341449,1.952183,1.732694,1.510939,1.509444,1.682059,1.527786
5,dynamic,100,6,3.892555,2.161174,1.452828,1.290591,1.085773,0.960210,0.958551,0.912751
6,dynamic,1000,6,3.634553,1.937506,1.440233,1.149599,1.191715,1.035750,1.003746,0.990464
7,dynamic,10000,6,3.786734,2.236827,1.914474,1.737021,1.572065,1.336777,1.305064,1.305975
8,dynamic,100000,6,3.579734,2.287592,1.710495,1.749166,1.620669,1.506016,1.367781,1.391023
9,guided,100,6,3.520744,1.842075,1.518259,1.185420,1.095265,1.124316,1.054014,1.017530
10,guided,1000,6,3.590785,2.132346,1.585968,1.243584,1.183557,1.017230,0.960149,0.968782
11,guided,10000,6,3.584196,2.126207,1.503190,1.343142,1.131489,1.279350,1.210390,1.137856
12,guided,100000,6,3.597847,2.286700,1.762106,1.609008,1.631626,1.283115,1.635672,1.505649
13,auto,100,6,3.934189,3.183746,3.212380,3.059479,2.994679,3.005065,2.848094,2.817035
14,auto,1000,6,3.742186,3.306678,3.136695,3.118440,2.965239,3.014359,2.770105,2.741280
15,auto,10000,6,3.785400,3.262923,3.257186,3.175506,2.916196,2.942970,2.747581,2.798905
16,auto,100000,6,3.758558,3.551511,3.220173,3.049734,3.389007,3.048980,2.767978,3.003059
